DBN,Name,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,grade1,grade2,grade3,grade4,grade5,grade6,grade7,grade8,grade9,grade10,grade11,grade12,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per
26Q213,PS 213 CARL ULMAN,20102011,51.9,473,9.1,12.7,74,44,79,75,71,NA,NA,NA,NA,NA,NA,NA,312,66,31,6.6,41,8.7,84,17.8,252,53.3,221,46.7
26Q213,PS 213 CARL ULMAN,20112012,34.1,461,7.2,10.2,65,71,46,72,71,NA,NA,NA,NA,NA,NA,NA,321,69.6,23,5,50,10.8,57,12.4,236,51.2,225,48.8
26Q216,JHS 216 GEORGE J RYAN,20102011,61.4,1226,9.5,11.3,NA,NA,NA,NA,NA,384,436,406,NA,NA,NA,NA,816,66.6,100,8.2,145,11.8,162,13.2,659,53.8,567,46.2
26Q216,JHS 216 GEORGE J RYAN,20112012,41.3,1258,9.4,10.7,NA,NA,NA,NA,NA,410,399,449,NA,NA,NA,NA,829,65.9,87,6.9,155,12.3,182,14.5,690,54.8,568,45.2
26Q221,PS 221 NORTH HILLS,20102011,34.6,635,13.1,11.5,106,96,88,99,111,NA,NA,NA,NA,NA,NA,NA,427,67.2,16,2.5,55,8.7,133,20.9,311,49,324,51
26Q221,PS 221 NORTH HILLS,20112012,22.5,619,10.7,11.3,96,107,101,87,100,NA,NA,NA,NA,NA,NA,NA,413,66.7,15,2.4,62,10,129,20.8,302,48.8,317,51.2
26Q266,P.S./I.S. 266,20102011,35.9,679,2.7,17.7,68,67,49,78,60,98,93,81,NA,NA,NA,NA,288,42.4,76,11.2,115,16.9,193,28.4,367,54.1,312,45.9
26Q266,P.S./I.S. 266,20112012,30.1,697,2.9,14.3,57,64,72,55,85,83,96,91,NA,NA,NA,NA,321,46.1,78,11.2,97,13.9,193,27.7,381,54.7,316,45.3
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,20102011,35.5,4063,6.5,10.8,NA,NA,NA,NA,NA,NA,NA,NA,1106,1057,1101,799,1862,45.8,750,18.5,736,18.1,698,17.2,1943,47.8,2120,52.2
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,20112012,37.3,3912,6.1,11.5,NA,NA,NA,NA,NA,NA,NA,NA,958,1008,1047,899,1788,45.7,718,18.4,727,18.6,657,16.8,1853,47.4,2059,52.6
26Q430,FRANCIS LEWIS HIGH SCHOOL,20102011,57.4,4211,12.8,10.8,NA,NA,NA,NA,NA,NA,NA,NA,955,1096,1092,1068,2171,51.6,351,8.3,1013,24.1,666,15.8,2061,48.9,2150,51.1
26Q430,FRANCIS LEWIS HIGH SCHOOL,20112012,51.6,4152,13.2,12.3,NA,NA,NA,NA,NA,NA,NA,NA,983,998,1100,1071,2153,51.9,343,8.3,999,24.1,642,15.5,2043,49.2,2109,50.8
26Q435,MARTIN VAN BUREN HIGH SCHOOL,20102011,48.3,2542,7.9,11.3,NA,NA,NA,NA,NA,NA,NA,NA,827,705,487,523,577,22.7,1506,59.2,380,14.9,61,2.4,1372,54,1170,46
26Q435,MARTIN VAN BUREN HIGH SCHOOL,20112012,38.2,2390,9.9,11.5,NA,NA,NA,NA,NA,NA,NA,NA,722,641,547,480,576,24.1,1348,56.4,360,15.1,69,2.9,1298,54.3,1092,45.7
26Q495,BAYSIDE HIGH SCHOOL,20102011,61.5,3628,7,9.2,NA,NA,NA,NA,NA,NA,NA,NA,1006,1050,440,1132,1745,48.1,461,12.7,736,20.3,677,18.7,1740,48,1888,52
