CSD,SCHOOL CODE,SCHOOL NAME,GRADE,PROGRAM TYPE,AVERAGE CLASS SIZE,SIZE OF LARGEST CLASS,SIZE OF SMALLEST CLASS
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,25,32,19
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,21.3,28,13
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,18.3,24,12
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,19.4,25,14
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,22.3,34,10
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,16.5,18,15
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,16,16,16
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,23,28,15
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,26.3,31,18
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,19,19,19
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,23,33,17
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,20.4,29,10
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,27.3,32,20
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,25,31,19
8,X295,Gateway School for Environmental Research and Technology,09-12,GEN ED,26,31,21
8,X295,Gateway School for Environmental Research and Technology,09-12,SPEC ED,9,11,7
8,X295,Gateway School for Environmental Research and Technology,09-12,SPEC ED,10,10,10
8,X295,Gateway School for Environmental Research and Technology,09-12,SPEC ED,8,8,8
8,X295,Gateway School for Environmental Research and Technology,09-12,SPEC ED,5,5,5
8,X295,Gateway School for Environmental Research and Technology,09-12,SPEC ED,9.7,11,9
8,X295,Gateway School for Environmental Research and Technology,09-12,SPEC ED,7,7,7
8,X295,Gateway School for Environmental Research and Technology,09-12,SPEC ED,11,11,11
8,X295,Gateway School for Environmental Research and Technology,09-12,SPEC ED,9.3,11,6
8,X301,M.S. 301 Paul L. Dunbar,09-12,GEN ED,26,29,21
8,X301,M.S. 301 Paul L. Dunbar,09-12,SPEC ED,13,16,10
8,X304,P.S. 304 Early Childhood School,0K,GEN ED,25,25,25
8,X305,Pablo Neruda Academy for Architecture and World Studies,09-12,GEN ED,12.5,15,10
8,X305,Pablo Neruda Academy for Architecture and World Studies,09-12,GEN ED,18.5,22,15
8,X305,Pablo Neruda Academy for Architecture and World Studies,09-12,GEN ED,19.5,25,14
8,X305,Pablo Neruda Academy for Architecture and World Studies,09-12,GEN ED,24.5,25,24
8,X305,Pablo Neruda Academy for Architecture and World Studies,09-12,GEN ED,16.7,18,15
8,X305,Pablo Neruda Academy for Architecture and World Studies,09-12,GEN ED,17.3,21,14
8,X305,Pablo Neruda Academy for Architecture and World Studies,09-12,GEN ED,20.4,25,15
8,X305,Pablo Neruda Academy for Architecture and World Studies,09-12,GEN ED,18,18,18
8,X305,Pablo Neruda Academy for Architecture and World Studies,09-12,GEN ED,19.8,25,15
8,X305,Pablo Neruda Academy for Architecture and World Studies,09-12,GEN ED,25,25,25
8,X305,Pablo Neruda Academy for Architecture and World Studies,09-12,GEN ED,21.3,22,20
8,X305,Pablo Neruda Academy for Architecture and World Studies,09-12,GEN ED,21.3,28,14
8,X305,Pablo Neruda Academy for Architecture and World Studies,09-12,GEN ED,21,24,18
8,X312,Millennium Art Academy,09-12,GEN ED,26.5,28,25
8,X312,Millennium Art Academy,09-12,GEN ED,30.8,34,27
8,X312,Millennium Art Academy,09-12,GEN ED,30,34,21
8,X312,Millennium Art Academy,09-12,GEN ED,31,34,29
8,X312,Millennium Art Academy,09-12,GEN ED,29,32,26
8,X312,Millennium Art Academy,09-12,GEN ED,22.3,30,11
8,X312,Millennium Art Academy,09-12,GEN ED,30.5,34,23
8,X312,Millennium Art Academy,09-12,GEN ED,25,25,25
8,X312,Millennium Art Academy,09-12,GEN ED,27.4,33,16
8,X312,Millennium Art Academy,09-12,GEN ED,30.8,34,26
8,X312,Millennium Art Academy,09-12,GEN ED,27.7,30,22
8,X312,Millennium Art Academy,09-12,GEN ED,28.1,33,24
8,X312,Millennium Art Academy,09-12,GEN ED,24.8,33,16
8,X312,Millennium Art Academy,09-12,GEN ED,30.3,34,23
8,X312,Millennium Art Academy,09-12,SPEC ED,12,13,11
8,X312,Millennium Art Academy,09-12,SPEC ED,11,13,9
8,X312,Millennium Art Academy,09-12,SPEC ED,12,12,12
8,X312,Millennium Art Academy,09-12,SPEC ED,12,14,10
8,X312,Millennium Art Academy,09-12,SPEC ED,13.5,14,13
8,X312,Millennium Art Academy,09-12,SPEC ED,14,14,14
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,17.5,18,17
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,21.5,24,19
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,18.7,25,14
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,20,22,16
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,14.7,19,12
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,18.3,21,17
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,21,27,15
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,21.3,23,19
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,14,14,14
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,21,21,21
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,21,22,20
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,21,28,12
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,28,31,25
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,19.4,24,13
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,16.3,20,13
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,19.8,25,13
8,X332,Holcombe L. Rucker School of Community Research,09-12,GEN ED,21.2,26,16
8,X333,P.S. 333 - The Museum School,0K,GEN ED,22.5,23,22
8,X335,The Academy of the Arts,0K,GEN ED,21,21,21
8,X367,"Archimedes Academy for Math, Science and Technology Applications",09,GEN ED,30.7,32,28
8,X376,"Antonia Pantoja Preparatory Academy, A College Board School",09,GEN ED,25.3,27,23
8,X376,"Antonia Pantoja Preparatory Academy, A College Board School",09-12,GEN ED,23.5,24,23
8,X376,"Antonia Pantoja Preparatory Academy, A College Board School",09-12,GEN ED,23.5,24,23
8,X405,Herbert H. Lehman High School,09-12,GEN ED,25.2,34,12
8,X405,Herbert H. Lehman High School,09-12,GEN ED,29.6,34,11
8,X405,Herbert H. Lehman High School,09-12,GEN ED,32.1,34,24
8,X405,Herbert H. Lehman High School,09-12,GEN ED,27.8,34,13
8,X405,Herbert H. Lehman High School,09-12,GEN ED,28.4,34,15
8,X405,Herbert H. Lehman High School,09-12,GEN ED,24.9,33,10
8,X405,Herbert H. Lehman High School,09-12,GEN ED,25.2,34,10
8,X405,Herbert H. Lehman High School,09-12,GEN ED,25.6,33,21
8,X405,Herbert H. Lehman High School,09-12,GEN ED,26.8,34,12
8,X405,Herbert H. Lehman High School,09-12,GEN ED,29.9,34,15
8,X405,Herbert H. Lehman High School,09-12,GEN ED,28.4,34,13
8,X405,Herbert H. Lehman High School,09-12,GEN ED,27.2,34,13
8,X405,Herbert H. Lehman High School,09-12,GEN ED,31.3,34,29
8,X405,Herbert H. Lehman High School,09-12,GEN ED,29.2,34,15
8,X405,Herbert H. Lehman High School,09-12,GEN ED,29.9,34,13
8,X405,Herbert H. Lehman High School,09-12,GEN ED,30.4,36,18
8,X405,Herbert H. Lehman High School,09-12,GEN ED,15,15,15
8,X405,Herbert H. Lehman High School,09-12,GEN ED,30.2,34,22
8,X405,Herbert H. Lehman High School,09-12,GEN ED,25.1,33,12
8,X405,Herbert H. Lehman High School,09-12,SPEC ED,12.9,14,11
8,X405,Herbert H. Lehman High School,09-12,SPEC ED,15.3,16,15
8,X405,Herbert H. Lehman High School,09-12,SPEC ED,14.6,18,13
8,X405,Herbert H. Lehman High School,09-12,SPEC ED,10.5,11,10
8,X405,Herbert H. Lehman High School,09-12,SPEC ED,14,15,12
8,X405,Herbert H. Lehman High School,09-12,SPEC ED,13.9,16,10
8,X405,Herbert H. Lehman High School,09-12,SPEC ED,14.5,16,12
8,X405,Herbert H. Lehman High School,09-12,SPEC ED,14.5,18,8
8,X405,Herbert H. Lehman High School,09-12,SPEC ED,12.9,17,8
8,X405,Herbert H. Lehman High School,09-12,SPEC ED,15.3,17,14
8,X405,Herbert H. Lehman High School,09-12,SPEC ED,13.6,16,11
8,X405,Herbert H. Lehman High School,09-12,SPEC ED,14,14,14
8,X405,Herbert H. Lehman High School,09-12,SPEC ED,18,18,18
8,X432,BRONX BRIDGES HIGH SCHOOL,09,GEN ED,26.3,28,24
8,X432,BRONX BRIDGES HIGH SCHOOL,09-12,GEN ED,14.4,15,14
8,X432,BRONX BRIDGES HIGH SCHOOL,09-12,GEN ED,19,22,16
8,X432,BRONX BRIDGES HIGH SCHOOL,09-12,GEN ED,19,22,16
8,X432,BRONX BRIDGES HIGH SCHOOL,09-12,GEN ED,19,22,16
8,X432,BRONX BRIDGES HIGH SCHOOL,09-12,GEN ED,24,24,24
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,16.7,21,12
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,23,27,16
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,22.3,23,21
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,24,27,21
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,28.3,33,25
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,23.6,27,21
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,29.5,30,29
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,25,25,25
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,23.3,30,19
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,28,28,28
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,23,23,23
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,27.3,33,22
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,24.6,48,10
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,22.4,29,17
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,21,31,11
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,GEN ED,22.3,28,11
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,SPEC ED,9,9,9
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,SPEC ED,6,6,6
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,SPEC ED,6,6,6
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,SPEC ED,12,13,11
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,SPEC ED,14,14,14
8,X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",09-12,SPEC ED,11,11,11
8,X530,Banana Kelly High School,09-12,GEN ED,27.7,31,25
8,X530,Banana Kelly High School,09-12,GEN ED,29.5,35,24
8,X530,Banana Kelly High School,09-12,GEN ED,21.2,25,16
8,X530,Banana Kelly High School,09-12,GEN ED,21.5,25,18
8,X530,Banana Kelly High School,09-12,GEN ED,15,15,15
8,X530,Banana Kelly High School,09-12,GEN ED,25.3,32,16
8,X530,Banana Kelly High School,09-12,GEN ED,36,37,35
8,X530,Banana Kelly High School,09-12,GEN ED,26,32,20
8,X530,Banana Kelly High School,09-12,GEN ED,28.5,29,28
8,X530,Banana Kelly High School,09-12,GEN ED,18.7,26,15
8,X530,Banana Kelly High School,09-12,GEN ED,29.3,31,27
8,X530,Banana Kelly High School,09-12,GEN ED,25.3,37,13
8,X530,Banana Kelly High School,09-12,GEN ED,24.7,35,15
8,X530,Banana Kelly High School,09-12,SPEC ED,8,11,5
8,X530,Banana Kelly High School,09-12,SPEC ED,5,5,5
8,X530,Banana Kelly High School,09-12,SPEC ED,7.7,10,6
8,X540,School for Community Research and Learning,09-12,GEN ED,15,17,13
8,X540,School for Community Research and Learning,09-12,GEN ED,23,24,22
8,X540,School for Community Research and Learning,09-12,GEN ED,14.3,20,10
8,X540,School for Community Research and Learning,09-12,GEN ED,18.7,20,17
8,X540,School for Community Research and Learning,09-12,GEN ED,14.5,17,12
8,X540,School for Community Research and Learning,09-12,GEN ED,22,32,14
8,X540,School for Community Research and Learning,09-12,GEN ED,25,25,25
8,X540,School for Community Research and Learning,09-12,GEN ED,11,12,10
8,X540,School for Community Research and Learning,09-12,GEN ED,19.5,26,13
8,X540,School for Community Research and Learning,09-12,GEN ED,21.5,28,14
8,X540,School for Community Research and Learning,09-12,GEN ED,24.5,25,24
8,X540,School for Community Research and Learning,09-12,GEN ED,19.8,28,13
8,X540,School for Community Research and Learning,09-12,GEN ED,11,11,11
8,X540,School for Community Research and Learning,09-12,GEN ED,20,26,17
8,X540,School for Community Research and Learning,09-12,GEN ED,17.7,21,16
8,X540,School for Community Research and Learning,09-12,SPEC ED,9,12,6
8,X540,School for Community Research and Learning,09-12,SPEC ED,13,13,13
8,X540,School for Community Research and Learning,09-12,SPEC ED,10.5,11,10
8,X540,School for Community Research and Learning,09-12,SPEC ED,14,14,14
8,X540,School for Community Research and Learning,09-12,SPEC ED,13,13,13
8,X560,High School X560 - Bronx Academy High School,09-12,GEN ED,31.5,34,29
8,X560,High School X560 - Bronx Academy High School,09-12,GEN ED,26.6,33,18
8,X560,High School X560 - Bronx Academy High School,09-12,GEN ED,30.5,34,25
8,X560,High School X560 - Bronx Academy High School,09-12,GEN ED,15,17,13
8,X560,High School X560 - Bronx Academy High School,09-12,GEN ED,29.5,32,27
8,X560,High School X560 - Bronx Academy High School,09-12,GEN ED,27.8,34,13
8,X560,High School X560 - Bronx Academy High School,09-12,GEN ED,31,34,26
8,X560,High School X560 - Bronx Academy High School,09-12,GEN ED,14,14,14
8,X560,High School X560 - Bronx Academy High School,09-12,GEN ED,31.8,34,27
8,X560,High School X560 - Bronx Academy High School,09-12,GEN ED,33.3,34,32
8,X560,High School X560 - Bronx Academy High School,09-12,GEN ED,32,32,32
8,X560,High School X560 - Bronx Academy High School,09-12,GEN ED,28,29,27
8,X650,Jane Addams High School for Academic Careers,09-12,GEN ED,27.6,30,25
8,X650,Jane Addams High School for Academic Careers,09-12,GEN ED,27.2,32,22
8,X650,Jane Addams High School for Academic Careers,09-12,GEN ED,21.2,31,13
8,X650,Jane Addams High School for Academic Careers,09-12,GEN ED,24,34,11
8,X650,Jane Addams High School for Academic Careers,09-12,GEN ED,26.3,34,16
8,X650,Jane Addams High School for Academic Careers,09-12,GEN ED,26.1,33,18
8,X650,Jane Addams High School for Academic Careers,09-12,GEN ED,11,11,11
8,X650,Jane Addams High School for Academic Careers,09-12,GEN ED,24.8,32,15
8,X650,Jane Addams High School for Academic Careers,09-12,GEN ED,27,32,23
8,X650,Jane Addams High School for Academic Careers,09-12,GEN ED,25.5,30,18
8,X650,Jane Addams High School for Academic Careers,09-12,GEN ED,27.5,34,14
8,X650,Jane Addams High School for Academic Careers,09-12,GEN ED,25.6,30,14
8,X650,Jane Addams High School for Academic Careers,09-12,SPEC ED,11,11,11
8,X650,Jane Addams High School for Academic Careers,09-12,SPEC ED,12.3,13,12
8,X650,Jane Addams High School for Academic Careers,09-12,SPEC ED,14,14,14
8,X650,Jane Addams High School for Academic Careers,09-12,SPEC ED,12,12,12
8,X650,Jane Addams High School for Academic Careers,09-12,SPEC ED,11.8,15,10
8,X650,Jane Addams High School for Academic Careers,09-12,SPEC ED,11,11,11
8,X650,Jane Addams High School for Academic Careers,09-12,SPEC ED,11,12,10
8,X650,Jane Addams High School for Academic Careers,09-12,SPEC ED,13.7,15,11
8,X650,Jane Addams High School for Academic Careers,09-12,SPEC ED,10.5,11,10
8,X650,Jane Addams High School for Academic Careers,09-12,SPEC ED,12,14,10
9,X004,P.S./M.S. 004 Crotona Park West,0K,GEN ED,21.5,22,21
9,X011,P.S. 011 Highbridge,0K,GEN ED,19.3,22,15
9,X028,P.S. 028 Mount Hope,0K,GEN ED,25,25,25
9,X035,P.S. 035 Franz Siegel,0K,GEN ED,25.3,26,25
9,X042,P.S. 042 Claremont,0K,GEN ED,21.3,22,20
9,X053,P.S. 053 Basheer Quisim,0K,GEN ED,24.3,29,18
9,X055,P.S. 055 Benjamin Franklin,0K,GEN ED,21.3,24,15
9,X058,P.S. 058,0K,GEN ED,20,20,20
9,X063,P.S. 063 Author's Academy,0K,GEN ED,25,25,25
9,X064,P.S. 064 Pura Belpre,0K,GEN ED,21.8,25,19
9,X070,P.S. 070 Max Schoenfeld,0K,GEN ED,21.9,25,18
9,X073,P.S. 073 Bronx,0K,GEN ED,20.3,23,18
9,X088,P.S. X088 - S. Silverstein Little Sparrow School,0K,GEN ED,21,21,21
9,X109,P.S. 109 Sedgwick,0K,GEN ED,25.4,27,24
9,X110,P.S. 110 Theodore Schoenfeld,0K,GEN ED,21,22,20
9,X114,P.S. X114 - Luis Llorens Torres Schools,0K,GEN ED,21.3,25,17
9,X126,P.S. 126 Dr Marjorie H Dunbar,0K,GEN ED,20,23,18
9,X132,P.S. 132 Garret A. Morgan,0K,GEN ED,22,23,21
9,X163,P.S. 163 Arthur A. Schomburg,0K,GEN ED,24,25,22
9,X170,P.S. 170,0K,GEN ED,19.3,23,8
9,X199,P.S. 199X - The Shakespeare School,0K,GEN ED,21.8,24,20
9,X204,P.S. 204 Morris Heights,0K,GEN ED,17.3,20,12
9,X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,0K,GEN ED,20.8,22,20
9,X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,09-12,GEN ED,26.7,28,24
9,X219,I.S. 219 New Venture School,09-12,GEN ED,24.9,33,13
9,X219,I.S. 219 New Venture School,09-12,GEN ED,25.8,31,16
9,X219,I.S. 219 New Venture School,09-12,SPEC ED,11.4,12,11
9,X227,Bronx Expeditionary Learning High School,09-12,GEN ED,21,28,14
9,X227,Bronx Expeditionary Learning High School,09-12,GEN ED,18.7,29,11
9,X227,Bronx Expeditionary Learning High School,09-12,GEN ED,19.5,27,11
9,X227,Bronx Expeditionary Learning High School,09-12,GEN ED,27.5,29,26
9,X227,Bronx Expeditionary Learning High School,09-12,GEN ED,20,20,20
9,X227,Bronx Expeditionary Learning High School,09-12,GEN ED,21.8,33,12
9,X227,Bronx Expeditionary Learning High School,09-12,GEN ED,29,29,29
9,X227,Bronx Expeditionary Learning High School,09-12,GEN ED,24,28,18
9,X227,Bronx Expeditionary Learning High School,09-12,GEN ED,22.7,34,15
9,X227,Bronx Expeditionary Learning High School,09-12,GEN ED,23,27,19
9,X227,Bronx Expeditionary Learning High School,09-12,GEN ED,26,28,24
9,X227,Bronx Expeditionary Learning High School,09-12,GEN ED,19.3,24,13
9,X227,Bronx Expeditionary Learning High School,09-12,GEN ED,21.8,32,11
9,X227,Bronx Expeditionary Learning High School,09-12,GEN ED,23.7,29,20
9,X227,Bronx Expeditionary Learning High School,09-12,SPEC ED,15,15,15
9,X227,Bronx Expeditionary Learning High School,09-12,SPEC ED,14,14,14
9,X227,Bronx Expeditionary Learning High School,09-12,SPEC ED,14,14,14
9,X230,P.S. 230 Dr Roland N. Patterson,0K,GEN ED,17.5,18,17
9,X231,Eagle Academy for Young Men,09-12,GEN ED,27.5,30,26
9,X231,Eagle Academy for Young Men,09-12,GEN ED,25.8,30,24
9,X231,Eagle Academy for Young Men,09-12,GEN ED,21.4,27,10
9,X231,Eagle Academy for Young Men,09-12,GEN ED,28,30,24
9,X231,Eagle Academy for Young Men,09-12,GEN ED,28,29,27
9,X231,Eagle Academy for Young Men,09-12,GEN ED,28.2,32,24
9,X231,Eagle Academy for Young Men,09-12,GEN ED,19.5,26,13
9,X231,Eagle Academy for Young Men,09-12,GEN ED,29.4,33,21
9,X231,Eagle Academy for Young Men,09-12,GEN ED,24.4,34,19
9,X231,Eagle Academy for Young Men,09-12,GEN ED,23.8,31,18
9,X231,Eagle Academy for Young Men,09-12,GEN ED,16,22,11
9,X231,Eagle Academy for Young Men,09-12,GEN ED,26.3,34,16
9,X231,Eagle Academy for Young Men,09-12,GEN ED,23.8,31,14
9,X231,Eagle Academy for Young Men,09-12,GEN ED,30,34,23
9,X231,Eagle Academy for Young Men,09-12,GEN ED,30,32,28
9,X231,Eagle Academy for Young Men,09-12,SPEC ED,12,12,12
9,X231,Eagle Academy for Young Men,09-12,SPEC ED,12,12,12
9,X231,Eagle Academy for Young Men,09-12,SPEC ED,12,12,12
9,X232,I.S. 232,09-12,GEN ED,25.3,31,16
9,X232,I.S. 232,09-12,SPEC ED,11,11,11
9,X236,P.S. 236 Langston Hughes,0K,GEN ED,25.3,26,25
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,13,13,13
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,28,29,27
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,26,31,21
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,21.5,22,21
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,13,13,13
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,27.5,31,24
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,21.5,22,21
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,25,25,25
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,12,12,12
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,30,30,30
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,25.5,33,18
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,13.5,17,10
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,14,14,14
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,27,31,25
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,18,22,14
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,25,25,25
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,GEN ED,20.8,25,15
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,SPEC ED,11,11,11
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,SPEC ED,14,18,10
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,SPEC ED,10,10,10
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,SPEC ED,13,13,13
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,SPEC ED,10,10,10
9,X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",09-12,SPEC ED,12.5,14,11
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,23.7,26,21
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,20.8,25,15
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,23,27,18
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,21.3,26,19
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,20,26,10
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,17,24,13
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,23.6,26,21
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,18,24,15
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,23,23,23
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,21.6,26,17
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,23.5,26,21
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,25,25,25
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,23.3,28,17
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,16,16,16
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,21.4,27,14
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,21.8,24,20
9,X241,"Urban Assembly School for Applied Math and Science, The",09-12,GEN ED,23,26,18
9,X250,Eximius College Preparatory Academy: A College Board School,09-12,GEN ED,23,33,15
9,X250,Eximius College Preparatory Academy: A College Board School,09-12,GEN ED,23,25,20
9,X250,Eximius College Preparatory Academy: A College Board School,09-12,GEN ED,23.5,32,14
9,X250,Eximius College Preparatory Academy: A College Board School,09-12,GEN ED,25.3,32,21
9,X250,Eximius College Preparatory Academy: A College Board School,09-12,GEN ED,22.7,30,15
9,X250,Eximius College Preparatory Academy: A College Board School,09-12,GEN ED,29,29,29
9,X250,Eximius College Preparatory Academy: A College Board School,09-12,GEN ED,29,29,29
9,X250,Eximius College Preparatory Academy: A College Board School,09-12,GEN ED,23,25,21
9,X250,Eximius College Preparatory Academy: A College Board School,09-12,GEN ED,20,31,14
9,X250,Eximius College Preparatory Academy: A College Board School,09-12,GEN ED,25,28,22
9,X250,Eximius College Preparatory Academy: A College Board School,09-12,GEN ED,25.4,31,20
9,X250,Eximius College Preparatory Academy: A College Board School,09-12,GEN ED,24,28,20
9,X250,Eximius College Preparatory Academy: A College Board School,09-12,GEN ED,27,29,25
9,X252,Mott Hall Bronx High School,09-12,GEN ED,22.7,31,18
9,X252,Mott Hall Bronx High School,09-12,GEN ED,28.3,35,22
9,X252,Mott Hall Bronx High School,09-12,GEN ED,27.7,31,22
9,X252,Mott Hall Bronx High School,09-12,GEN ED,29.5,34,26
9,X252,Mott Hall Bronx High School,09-12,GEN ED,24.2,34,20
9,X252,Mott Hall Bronx High School,09-12,GEN ED,32,32,32
9,X252,Mott Hall Bronx High School,09-12,GEN ED,28,28,28
9,X252,Mott Hall Bronx High School,09-12,GEN ED,22,25,19
9,X252,Mott Hall Bronx High School,09-12,GEN ED,28,32,24
9,X252,Mott Hall Bronx High School,09-12,GEN ED,30,30,30
9,X252,Mott Hall Bronx High School,09-12,GEN ED,32.3,34,29
9,X252,Mott Hall Bronx High School,09-12,GEN ED,27,33,20
9,X252,Mott Hall Bronx High School,09-12,GEN ED,24,33,15
9,X252,Mott Hall Bronx High School,09-12,GEN ED,32.3,34,29
9,X260,Bronx Center for Science and Mathematics,09-12,GEN ED,30,31,29
9,X260,Bronx Center for Science and Mathematics,09-12,GEN ED,25.5,31,18
9,X260,Bronx Center for Science and Mathematics,09-12,GEN ED,22.8,30,18
9,X260,Bronx Center for Science and Mathematics,09-12,GEN ED,19.8,28,16
9,X260,Bronx Center for Science and Mathematics,09-12,GEN ED,16.8,22,11
9,X260,Bronx Center for Science and Mathematics,09-12,GEN ED,26.5,31,22
9,X260,Bronx Center for Science and Mathematics,09-12,GEN ED,22.3,27,10
9,X260,Bronx Center for Science and Mathematics,09-12,GEN ED,20,32,13
9,X260,Bronx Center for Science and Mathematics,09-12,GEN ED,17.5,19,16
